会员编号,股票代码,股票名称,交易类型,交易量,股票价格,总股价,交易手续费,交易状态,交易日期
YW99888,HPM,皇富矿业,购买,1300,5.16,6708.00,0.00,交易完成,"2016-06-28 15:02:52"
557866,PPE,越南电力油气咨询工程公司,购买,6,4.86,29.16,0.00,交易完成,"2016-06-28 14:52:04"
HFYT118318,HPM,皇富矿业,购买,3128,5.16,16140.48,0.00,交易完成,"2016-06-28 14:51:09"
99995012,HPM,皇富矿业,购买,116,5.16,598.56,0.00,交易完成,"2016-06-28 14:50:13"
557866,PPE,越南电力油气咨询工程公司,购买,425,4.86,2065.50,0.00,交易完成,"2016-06-28 14:49:41"
YT1556677,PPE,越南电力油气咨询工程公司,购买,1,4.86,4.86,0.00,交易完成,"2016-06-28 14:45:41"
gt889,HPM,皇富矿业,购买,2970,5.15,15295.50,0.00,交易完成,"2016-06-28 14:44:31"
20150120,HPM,皇富矿业,购买,970,5.15,4995.50,0.00,交易完成,"2016-06-28 14:38:05"
0072437,HPM,皇富矿业,出售,1000,5.15,5150.00,51.50,交易完成,"2016-06-28 14:29:40"
99991888,HPM,皇富矿业,出售,7865,5.15,40504.75,405.05,交易完成,"2016-06-28 14:25:49"
369369,HPM,皇富矿业,出售,4300,5.15,22145.00,221.45,交易完成,"2016-06-28 14:10:37"
93238200,HPM,皇富矿业,出售,36179,5.15,186321.85,1863.22,交易完成,"2016-06-28 14:05:19"
YT197197,HPM,皇富矿业,出售,10000,5.15,51500.00,515.00,交易完成,"2016-06-28 14:04:09"
b20160218,HPM,皇富矿业,出售,13142,5.15,67681.30,676.81,交易完成,"2016-06-28 14:01:53"
YW818,HPM,皇富矿业,出售,2300,5.15,11845.00,118.45,交易完成,"2016-06-28 12:24:14"
99997055,HPM,皇富矿业,出售,130,5.15,669.50,6.70,交易完成,"2016-06-28 12:16:27"
99997055,HPM,皇富矿业,出售,130,5.15,669.50,6.70,交易完成,"2016-06-28 12:16:24"
99995223,HPM,皇富矿业,出售,19840,5.15,102176.00,1021.76,交易完成,"2016-06-28 12:15:45"
YT269269,HPM,皇富矿业,购买,22,5.15,113.30,0.00,交易完成,"2016-06-28 12:15:10"
LGY00001,HPM,皇富矿业,出售,8471,5.15,43625.65,436.26,交易完成,"2016-06-28 12:14:22"
99997055,HPM,皇富矿业,出售,2669,5.15,13745.35,137.45,交易完成,"2016-06-28 12:13:26"
YT269269,HPM,皇富矿业,购买,2000,5.15,10300.00,0.00,交易完成,"2016-06-28 12:13:13"
99996345,HPM,皇富矿业,出售,13625,5.15,70168.75,701.69,交易完成,"2016-06-28 12:12:27"
P76261561,HPM,皇富矿业,购买,153,5.15,787.95,0.00,交易完成,"2016-06-28 12:11:18"
YT269999,HPM,皇富矿业,购买,27,5.15,139.05,0.00,交易完成,"2016-06-28 12:09:59"
LSH1336513,HPM,皇富矿业,出售,8000,5.15,41200.00,412.00,交易完成,"2016-06-28 12:09:58"
YT269999,HPM,皇富矿业,购买,650,5.15,3347.50,0.00,交易完成,"2016-06-28 12:07:29"
YT9916,HPM,皇富矿业,购买,1,5.15,5.15,0.00,交易完成,"2016-06-28 12:04:51"
AL688,HPM,皇富矿业,出售,10000,5.15,51500.00,515.00,交易完成,"2016-06-28 12:04:44"
NHL801678,HPM,皇富矿业,出售,9946,5.15,51221.90,512.22,交易完成,"2016-06-28 12:04:44"
YT9797,HPM,皇富矿业,出售,18840,5.15,97026.00,970.26,交易完成,"2016-06-28 11:54:50"
88888,HPM,皇富矿业,出售,32538,5.15,167570.70,1675.71,交易完成,"2016-06-28 11:53:39"
LHQ168,HPM,皇富矿业,出售,44385,5.15,228582.75,2285.83,交易完成,"2016-06-28 11:53:35"
99993112,HPM,皇富矿业,购买,9689,5.15,49898.35,0.00,交易完成,"2016-06-28 11:52:32"
YET997799,HPM,皇富矿业,出售,19036,5.15,98035.40,980.35,交易完成,"2016-06-28 11:51:40"
58740464,HPM,皇富矿业,出售,3277,5.15,16876.55,168.77,交易完成,"2016-06-28 11:50:59"
WXL003,HPM,皇富矿业,出售,50006,5.15,257530.90,2575.31,交易完成,"2016-06-28 11:49:11"
P07023991,PPE,越南电力油气咨询工程公司,出售,400,4.86,1944.00,19.44,交易完成,"2016-06-28 11:48:54"
663127,HPM,皇富矿业,出售,5850,5.15,30127.50,301.28,交易完成,"2016-06-28 11:48:29"
9116699,HPM,皇富矿业,出售,53190,5.15,273928.50,2739.29,交易完成,"2016-06-28 11:48:01"
YH001,HPM,皇富矿业,出售,19101,5.15,98370.15,983.70,交易完成,"2016-06-28 11:46:12"
65503300,HPM,皇富矿业,出售,6000,5.15,30900.00,309.00,交易完成,"2016-06-28 11:38:09"
MM5200,PPE,越南电力油气咨询工程公司,购买,14,4.86,68.04,0.00,交易完成,"2016-06-28 11:37:27"
99997106,HPM,皇富矿业,出售,843,5.15,4341.45,43.41,交易完成,"2016-06-28 11:37:10"
9134888,HPM,皇富矿业,出售,2000,5.15,10300.00,103.00,交易完成,"2016-06-28 11:36:46"
MM5200,HPM,皇富矿业,购买,1703,5.15,8770.45,0.00,交易完成,"2016-06-28 11:35:50"
P93684717,HPM,皇富矿业,出售,6000,5.15,30900.00,309.00,交易完成,"2016-06-28 11:34:54"
82219,HPM,皇富矿业,出售,4715,5.15,24282.25,242.82,交易完成,"2016-06-28 11:34:53"
661827,HPM,皇富矿业,出售,1098,5.15,5654.70,56.55,交易完成,"2016-06-28 11:31:30"
99998111,HPM,皇富矿业,出售,20,5.15,103.00,1.03,交易完成,"2016-06-28 11:31:01"
P67960255,HPM,皇富矿业,出售,24695,5.15,127179.25,1271.79,交易完成,"2016-06-28 11:30:52"
20056689,HPM,皇富矿业,购买,583,5.15,3002.45,0.00,交易完成,"2016-06-28 11:30:46"
66845528,PPE,越南电力油气咨询工程公司,出售,4000,4.86,19440.00,194.40,交易完成,"2016-06-28 11:29:31"
P8820159,HPM,皇富矿业,出售,2098,5.15,10804.70,108.05,交易完成,"2016-06-28 11:28:46"
882206,HPM,皇富矿业,出售,5183,5.15,26692.45,266.92,交易完成,"2016-06-28 11:28:39"
99998111,HPM,皇富矿业,出售,31870,5.15,164130.50,1641.31,交易完成,"2016-06-28 11:28:35"
20156030,HPM,皇富矿业,出售,1,5.15,5.15,0.05,交易完成,"2016-06-28 11:28:34"
66810907,HPM,皇富矿业,出售,25961,5.15,133699.15,1336.99,交易完成,"2016-06-28 11:27:31"
66668888,PPE,越南电力油气咨询工程公司,购买,1224,4.86,5948.64,0.00,交易完成,"2016-06-28 11:27:01"
pzh,HPM,皇富矿业,出售,9709,5.15,50001.35,500.01,交易完成,"2016-06-28 11:25:59"
19640323,PPE,越南电力油气咨询工程公司,购买,617,4.86,2998.62,0.00,交易完成,"2016-06-28 11:25:52"
LJR510889,HPM,皇富矿业,出售,11144,5.15,57391.60,573.92,交易完成,"2016-06-28 11:25:30"
20154016,HPM,皇富矿业,购买,2000,5.15,10300.00,0.00,交易完成,"2016-06-28 11:25:00"
99995858,HPM,皇富矿业,出售,1451472,5.15,7475080.80,74750.81,交易完成,"2016-06-28 11:24:40"
29094291,PPE,越南电力油气咨询工程公司,购买,4849,4.86,23566.14,0.00,交易完成,"2016-06-28 11:24:19"
532786,HPM,皇富矿业,出售,5000,5.15,25750.00,257.50,交易完成,"2016-06-28 11:24:07"
syly,HPM,皇富矿业,出售,2622,5.15,13503.30,135.03,交易完成,"2016-06-28 11:24:05"
65166878,HPM,皇富矿业,购买,7358,5.15,37893.70,0.00,交易完成,"2016-06-28 11:19:05"
LJR5889,HPM,皇富矿业,出售,32885,5.15,169357.75,1693.58,交易完成,"2016-06-28 11:18:50"
99995161,HPM,皇富矿业,出售,6267,5.15,32275.05,322.75,交易完成,"2016-06-28 11:17:58"
99998003,HPM,皇富矿业,出售,19078,5.15,98251.70,982.52,交易完成,"2016-06-28 11:17:34"
54700006,HPM,皇富矿业,出售,70404,5.15,362580.60,3625.81,交易完成,"2016-06-28 11:14:54"
99991109,HPM,皇富矿业,购买,97,5.15,499.55,0.00,交易完成,"2016-06-28 11:14:35"
lc001,HPM,皇富矿业,出售,2500,5.15,12875.00,128.75,交易完成,"2016-06-28 11:12:49"
99991158,HPM,皇富矿业,出售,11141,5.15,57376.15,573.76,交易完成,"2016-06-28 11:12:04"
20150178,HPM,皇富矿业,出售,200,5.15,1030.00,10.30,交易完成,"2016-06-28 11:11:10"
138158,HPM,皇富矿业,出售,5048,5.15,25997.20,259.97,交易完成,"2016-06-28 11:10:55"
h179888,HPM,皇富矿业,出售,3460,5.15,17819.00,178.19,交易完成,"2016-06-28 11:10:07"
20150178,HPM,皇富矿业,出售,9800,5.15,50470.00,504.70,交易完成,"2016-06-28 11:10:03"
66667888,HPM,皇富矿业,购买,970,5.15,4995.50,0.00,交易完成,"2016-06-28 11:09:23"
YT8877,PPE,越南电力油气咨询工程公司,出售,2890,4.86,14045.40,140.45,交易完成,"2016-06-28 11:08:21"
xpf01,PPE,越南电力油气咨询工程公司,出售,1,4.86,4.86,0.05,交易完成,"2016-06-28 11:08:05"
0071599,HPM,皇富矿业,出售,1560,5.15,8034.00,80.34,交易完成,"2016-06-28 11:07:57"
99995002,HPM,皇富矿业,出售,843,5.15,4341.45,43.41,交易完成,"2016-06-28 11:07:49"
99993456,HPM,皇富矿业,出售,1910,5.15,9836.50,98.37,交易完成,"2016-06-28 11:07:47"
99990001,HPM,皇富矿业,出售,38000,5.15,195700.00,1957.00,交易完成,"2016-06-28 11:07:31"
99998788,HPM,皇富矿业,出售,10126,5.15,52148.90,521.49,交易完成,"2016-06-28 11:07:28"
P06862567,HPM,皇富矿业,购买,246,5.15,1266.90,0.00,交易完成,"2016-06-28 11:06:04"
79582378,HPM,皇富矿业,出售,57880,5.15,298082.00,2980.82,交易完成,"2016-06-28 11:05:53"
y179888,HPM,皇富矿业,出售,4330,5.15,22299.50,223.00,交易完成,"2016-06-28 11:05:35"
8890285,HPM,皇富矿业,出售,5000,5.15,25750.00,257.50,交易完成,"2016-06-28 11:03:42"
K6862567,HPM,皇富矿业,购买,691,5.15,3558.65,0.00,交易完成,"2016-06-28 11:03:05"
179189,HPM,皇富矿业,出售,485,5.15,2497.75,24.98,交易完成,"2016-06-28 10:59:28"
00100151,HPM,皇富矿业,出售,25908,5.15,133426.20,1334.26,交易完成,"2016-06-28 10:59:13"
99998889,HPM,皇富矿业,出售,10005,5.15,51525.75,515.26,交易完成,"2016-06-28 10:58:55"
9551122,HPM,皇富矿业,出售,72803,5.15,374935.45,3749.35,交易完成,"2016-06-28 10:58:49"
63871635,HPM,皇富矿业,出售,3800,5.15,19570.00,195.70,交易完成,"2016-06-28 10:58:44"
179189,HPM,皇富矿业,出售,4077,5.15,20996.55,209.97,交易完成,"2016-06-28 10:58:35"
99992589,HPM,皇富矿业,出售,13832,5.15,71234.80,712.35,交易完成,"2016-06-28 10:57:41"
20150421,HPM,皇富矿业,购买,300,5.15,1545.00,0.00,交易完成,"2016-06-28 10:56:41"
621018,HPM,皇富矿业,出售,9710,5.15,50006.50,500.07,交易完成,"2016-06-28 10:56:31"
WJD,HPM,皇富矿业,出售,16500,5.15,84975.00,849.75,交易完成,"2016-06-28 10:55:53"
FSL001,HPM,皇富矿业,出售,8000,5.15,41200.00,412.00,交易完成,"2016-06-28 10:51:30"
38589018,HPM,皇富矿业,出售,23,5.15,118.45,1.18,交易完成,"2016-06-28 10:49:25"
jxz,HPM,皇富矿业,出售,2160,5.15,11124.00,111.24,交易完成,"2016-06-28 10:47:59"
CYX,HPM,皇富矿业,出售,2933,5.15,15104.95,151.05,交易完成,"2016-06-28 10:45:49"
SJC001,HPM,皇富矿业,出售,20000,5.15,103000.00,1030.00,交易完成,"2016-06-28 10:44:45"
YT269999,HPM,皇富矿业,购买,22,5.15,113.30,0.00,交易完成,"2016-06-28 10:44:33"
63615920,HPM,皇富矿业,出售,3800,5.15,19570.00,195.70,交易完成,"2016-06-28 10:43:33"
WJ888,HPM,皇富矿业,出售,42773,5.15,220280.95,2202.81,交易完成,"2016-06-28 10:42:18"
WHK889,HPM,皇富矿业,出售,13830,5.15,71224.50,712.25,交易完成,"2016-06-28 10:42:03"
YW77813,HPM,皇富矿业,出售,100,5.15,515.00,5.15,交易完成,"2016-06-28 10:41:50"
WFY001,HPM,皇富矿业,出售,13592,5.15,69998.80,699.99,交易完成,"2016-06-28 10:41:15"
99995023,HPM,皇富矿业,出售,2158,5.15,11113.70,111.14,交易完成,"2016-06-28 10:39:39"
YW77813,HPM,皇富矿业,出售,3900,5.15,20085.00,200.85,交易完成,"2016-06-28 10:37:09"
K92387536,HPM,皇富矿业,购买,1047,5.15,5392.05,0.00,交易完成,"2016-06-28 10:37:07"
lsf,HPM,皇富矿业,出售,5208,5.15,26821.20,268.21,交易完成,"2016-06-28 10:36:35"
P00200191,HPM,皇富矿业,出售,303,5.15,1560.45,15.60,交易完成,"2016-06-28 10:36:16"
00200191,HPM,皇富矿业,出售,22990,5.15,118398.50,1183.99,交易完成,"2016-06-28 10:32:49"
11682268,HPM,皇富矿业,购买,5095,5.15,26239.25,0.00,交易完成,"2016-06-28 10:32:47"
009009533,HPM,皇富矿业,出售,1896,5.15,9764.40,97.64,交易完成,"2016-06-28 10:30:40"
CGLYJ999,HPM,皇富矿业,出售,17989,5.15,92643.35,926.43,交易完成,"2016-06-28 10:29:40"
99995315,HPM,皇富矿业,出售,2800,5.15,14420.00,144.20,交易完成,"2016-06-28 10:29:20"
PXM168,HPM,皇富矿业,出售,5878,5.15,30271.70,302.72,交易完成,"2016-06-28 10:28:47"
lrf1688,HPM,皇富矿业,出售,4989,5.15,25693.35,256.93,交易完成,"2016-06-28 10:27:20"
K8479161,HPM,皇富矿业,出售,2286,5.15,11772.90,117.73,交易完成,"2016-06-28 10:27:07"
678,HPM,皇富矿业,购买,186,5.15,957.90,0.00,交易完成,"2016-06-28 10:26:30"
99991946,HPM,皇富矿业,出售,4600,5.15,23690.00,236.90,交易完成,"2016-06-28 10:26:30"
P987654,HPM,皇富矿业,出售,10448,5.15,53807.20,538.07,交易完成,"2016-06-28 10:26:29"
82267518,PPE,越南电力油气咨询工程公司,出售,17086,4.86,83037.96,830.38,交易完成,"2016-06-28 10:26:00"
P78076666,HPM,皇富矿业,购买,81,5.15,417.15,0.00,交易完成,"2016-06-28 10:24:59"
K24536661,HPM,皇富矿业,出售,571,5.15,2940.65,29.41,交易完成,"2016-06-28 10:24:57"
DJK001,HPM,皇富矿业,出售,10030,5.15,51654.50,516.55,交易完成,"2016-06-28 10:24:02"
12137388,PPE,越南电力油气咨询工程公司,出售,15521,4.86,75432.06,754.32,交易完成,"2016-06-28 10:23:32"
188288388,HPM,皇富矿业,出售,9936,5.15,51170.40,511.70,交易完成,"2016-06-28 10:23:22"
641098151,HPM,皇富矿业,出售,6581,5.15,33892.15,338.92,交易完成,"2016-06-28 10:23:11"
K97484790,HPM,皇富矿业,出售,571,5.15,2940.65,29.41,交易完成,"2016-06-28 10:21:54"
YT666699,HPM,皇富矿业,出售,10000,5.15,51500.00,515.00,交易完成,"2016-06-28 10:20:59"
66686669,HPM,皇富矿业,出售,17914,5.15,92257.10,922.57,交易完成,"2016-06-28 10:20:57"
KFL99999,HPM,皇富矿业,出售,15015,5.15,77327.25,773.27,交易完成,"2016-06-28 10:20:34"
K96298313,HPM,皇富矿业,出售,561,5.15,2889.15,28.89,交易完成,"2016-06-28 10:19:57"
P92303534,HPM,皇富矿业,购买,894,5.15,4604.10,0.00,交易完成,"2016-06-28 10:19:12"
99996619,HPM,皇富矿业,购买,4290,5.15,22093.50,0.00,交易完成,"2016-06-28 10:18:57"
YW001,HPM,皇富矿业,出售,19500,5.15,100425.00,1004.25,交易完成,"2016-06-28 10:18:47"
LYZ100706,HPM,皇富矿业,出售,28534,5.15,146950.10,1469.50,交易完成,"2016-06-28 10:18:40"
K96350494,HPM,皇富矿业,出售,571,5.15,2940.65,29.41,交易完成,"2016-06-28 10:17:09"
grl,HPM,皇富矿业,出售,19588,5.15,100878.20,1008.78,交易完成,"2016-06-28 10:16:15"
99996161,HPM,皇富矿业,出售,6000,5.15,30900.00,309.00,交易完成,"2016-06-28 10:16:12"
66893,HPM,皇富矿业,出售,5881,5.15,30287.15,302.87,交易完成,"2016-06-28 10:16:03"
KFL88888,HPM,皇富矿业,出售,15029,5.15,77399.35,773.99,交易完成,"2016-06-28 10:15:32"
YT356,HPM,皇富矿业,出售,2000,5.15,10300.00,103.00,交易完成,"2016-06-28 10:15:15"
ysj6688,HPM,皇富矿业,购买,1,5.15,5.15,0.00,交易完成,"2016-06-28 10:14:40"
CGFSJ888,HPM,皇富矿业,出售,26123,5.15,134533.45,1345.33,交易完成,"2016-06-28 10:14:12"
666987,HPM,皇富矿业,出售,28935,5.15,149015.25,1490.15,交易完成,"2016-06-28 10:13:45"
YT196603,HPM,皇富矿业,出售,343,5.15,1766.45,17.66,交易完成,"2016-06-28 10:13:00"
99997122,HPM,皇富矿业,出售,4500,5.15,23175.00,231.75,交易完成,"2016-06-28 10:11:58"
18008001,HPM,皇富矿业,购买,368,5.15,1895.20,0.00,交易完成,"2016-06-28 10:11:55"
56885588,HPM,皇富矿业,出售,197472,5.15,1016980.80,10169.81,交易完成,"2016-06-28 10:10:28"
90549617,HPM,皇富矿业,购买,1800,5.15,9270.00,0.00,交易完成,"2016-06-28 10:10:01"
68881,HPM,皇富矿业,出售,22766,5.15,117244.90,1172.45,交易完成,"2016-06-28 10:09:41"
YT269999,HPM,皇富矿业,购买,17,5.15,87.55,0.00,交易完成,"2016-06-28 10:09:14"
wmz888999,HPM,皇富矿业,购买,5064,5.15,26079.60,0.00,交易完成,"2016-06-28 10:08:35"
YT194802,HPM,皇富矿业,购买,5000,5.15,25750.00,0.00,交易完成,"2016-06-28 10:08:25"
YT1974066,HPM,皇富矿业,购买,35649,5.15,183592.35,0.00,交易完成,"2016-06-28 10:08:13"
YT194802,HPM,皇富矿业,购买,5000,5.15,25750.00,0.00,交易完成,"2016-06-28 10:07:52"
32021316,HPM,皇富矿业,购买,40,5.15,206.00,0.00,交易完成,"2016-06-28 10:07:48"
YT6655,HPM,皇富矿业,购买,100000,5.15,515000.00,0.00,交易完成,"2016-06-28 10:07:39"
113678,HPM,皇富矿业,购买,315,5.15,1622.25,0.00,交易完成,"2016-06-28 10:07:27"
Yt041,HPM,皇富矿业,购买,150,5.15,772.50,0.00,交易完成,"2016-06-28 10:07:07"
YT197703,HPM,皇富矿业,购买,9966,5.15,51324.90,0.00,交易完成,"2016-06-28 10:06:31"
P186006,HPM,皇富矿业,出售,10000,5.15,51500.00,515.00,交易完成,"2016-06-28 10:05:38"
P43016986,HPM,皇富矿业,购买,1,5.15,5.15,0.00,交易完成,"2016-06-28 10:05:38"
00500502,HPM,皇富矿业,出售,32118,5.15,165407.70,1654.08,交易完成,"2016-06-28 10:05:19"
00500503,HPM,皇富矿业,出售,19807,5.15,102006.05,1020.06,交易完成,"2016-06-28 10:05:18"
HFX008,HPM,皇富矿业,出售,30000,5.19,155700.00,1557.00,交易完成,"2016-06-28 10:04:52"
31003795,HPM,皇富矿业,购买,10000,5.15,51500.00,0.00,交易完成,"2016-06-28 10:04:39"
GYJ123,HPM,皇富矿业,出售,26381,5.19,136917.39,1369.17,交易完成,"2016-06-28 10:04:34"
zw666999,HPM,皇富矿业,出售,23913,5.19,124108.47,1241.08,交易完成,"2016-06-28 10:04:28"
fy699,HPM,皇富矿业,出售,3893,5.19,20204.67,202.05,交易完成,"2016-06-28 10:04:21"
YT6355,HPM,皇富矿业,出售,20000,5.19,103800.00,1038.00,交易完成,"2016-06-28 10:04:17"
5688788,HPM,皇富矿业,出售,11602,5.19,60214.38,602.14,交易完成,"2016-06-28 10:04:10"
GWJ001,HPM,皇富矿业,出售,4249,5.19,22052.31,220.52,交易完成,"2016-06-28 10:03:55"
81085665,HPM,皇富矿业,出售,20000,5.19,103800.00,1038.00,交易完成,"2016-06-28 10:03:52"
08144127,HPM,皇富矿业,出售,4902,5.19,25441.38,254.41,交易完成,"2016-06-28 10:03:33"
hyz008,HPM,皇富矿业,出售,4213,5.19,21865.47,218.65,交易完成,"2016-06-28 10:03:32"
LZQ001,HPM,皇富矿业,出售,3566,5.19,18507.54,185.08,交易完成,"2016-06-28 10:03:30"
ZXY003,HPM,皇富矿业,出售,30000,5.19,155700.00,1557.00,交易完成,"2016-06-28 10:03:27"
NTX002,HPM,皇富矿业,出售,30000,5.19,155700.00,1557.00,交易完成,"2016-06-28 10:03:17"
LAR006,HPM,皇富矿业,出售,26456,5.19,137306.64,1373.07,交易完成,"2016-06-28 10:03:15"
LGY00002,PPE,越南电力油气咨询工程公司,出售,1100000,4.87,5357000.00,53570.00,交易完成,"2016-06-28 10:03:13"
003003003,HPM,皇富矿业,出售,19215,5.19,99725.85,997.26,交易完成,"2016-06-28 10:03:08"
00700700,HPM,皇富矿业,出售,60000,5.19,311400.00,3114.00,交易完成,"2016-06-28 10:02:52"
P69426980,HPM,皇富矿业,出售,139550,5.19,724264.50,7242.65,交易完成,"2016-06-28 10:02:39"
51851890,HPM,皇富矿业,出售,63332,5.19,328693.08,3286.93,交易完成,"2016-06-28 10:02:35"
5965800,HPM,皇富矿业,出售,19906,5.19,103312.14,1033.12,交易完成,"2016-06-28 10:02:33"
58883868,HPM,皇富矿业,出售,6420,5.19,33319.80,333.20,交易完成,"2016-06-28 10:02:25"
95795234,HPM,皇富矿业,出售,21500,5.19,111585.00,1115.85,交易完成,"2016-06-28 10:02:24"
QH168,HPM,皇富矿业,出售,155953,5.19,809396.07,8093.96,交易完成,"2016-06-28 10:02:21"
XLY001,HPM,皇富矿业,出售,78822,5.19,409086.18,4090.86,交易完成,"2016-06-28 10:02:19"
DC001,HPM,皇富矿业,出售,9529,5.19,49455.51,494.56,交易完成,"2016-06-28 10:02:10"
YT2355,HPM,皇富矿业,出售,12184,5.19,63234.96,632.35,交易完成,"2016-06-28 10:02:03"
6668888,HPM,皇富矿业,出售,6654,5.19,34534.26,345.34,交易完成,"2016-06-28 10:01:36"
598598,HPM,皇富矿业,出售,6654,5.19,34534.26,345.34,交易完成,"2016-06-28 10:01:19"
13146868,HPM,皇富矿业,出售,2500,5.19,12975.00,129.75,交易完成,"2016-06-27 15:59:22"
YW57813,HPM,皇富矿业,购买,57,5.19,295.83,0.00,交易完成,"2016-06-27 15:58:59"
15828202,HPM,皇富矿业,出售,10000,5.19,51900.00,519.00,交易完成,"2016-06-27 15:58:41"
YT9777,HPM,皇富矿业,购买,50,5.19,259.50,0.00,交易完成,"2016-06-27 15:58:29"
K87470430,HPM,皇富矿业,出售,6666,5.19,34596.54,345.97,交易完成,"2016-06-27 15:57:46"
00100121,HPM,皇富矿业,出售,16753,5.19,86948.07,869.48,交易完成,"2016-06-27 15:57:27"
P03404839,HPM,皇富矿业,出售,4042,5.19,20977.98,209.78,交易完成,"2016-06-27 15:57:20"
222888,HPM,皇富矿业,出售,69349,5.19,359921.31,3599.21,交易完成,"2016-06-27 15:56:54"
885888,HPM,皇富矿业,出售,45000,5.19,233550.00,2335.50,交易完成,"2016-06-27 15:56:40"
99992102,HPM,皇富矿业,出售,3000,5.19,15570.00,155.70,交易完成,"2016-06-27 15:56:20"
99316165,HPM,皇富矿业,出售,33165,5.19,172126.35,1721.26,交易完成,"2016-06-27 15:56:10"
33109129,HPM,皇富矿业,出售,19470,5.19,101049.30,1010.49,交易完成,"2016-06-27 15:56:01"
AO6688,HPM,皇富矿业,出售,20000,5.19,103800.00,1038.00,交易完成,"2016-06-27 15:56:00"
40510195,HPM,皇富矿业,出售,41411,5.19,214923.09,2149.23,交易完成,"2016-06-27 15:55:40"
184088,HPM,皇富矿业,出售,44165,5.19,229216.35,2292.16,交易完成,"2016-06-27 15:55:04"
19156969,HPM,皇富矿业,出售,4930,5.19,25586.70,255.87,交易完成,"2016-06-27 15:55:01"
lyg888,HPM,皇富矿业,购买,20,5.19,103.80,0.00,交易完成,"2016-06-27 15:54:41"
66668888,PPE,越南电力油气咨询工程公司,购买,632,4.87,3077.84,0.00,交易完成,"2016-06-27 15:54:36"
12812899,HPM,皇富矿业,出售,29000,5.19,150510.00,1505.10,交易完成,"2016-06-27 15:54:31"
03431052,HPM,皇富矿业,出售,10020,5.19,52003.80,520.04,交易完成,"2016-06-27 15:54:29"
YT1999,HPM,皇富矿业,出售,25480,5.19,132241.20,1322.41,交易完成,"2016-06-27 15:54:16"
82039666,HPM,皇富矿业,出售,19000,5.19,98610.00,986.10,交易完成,"2016-06-27 15:53:49"
35228134,HPM,皇富矿业,出售,9695,5.19,50317.05,503.17,交易完成,"2016-06-27 15:53:46"
YU53106288,HPM,皇富矿业,出售,60000,5.19,311400.00,3114.00,交易完成,"2016-06-27 15:53:27"
K73303963,HPM,皇富矿业,出售,7015,5.19,36407.85,364.08,交易完成,"2016-06-27 15:53:08"
L168,HPM,皇富矿业,出售,28254,5.19,146638.26,1466.38,交易完成,"2016-06-27 15:52:52"
297397260,HPM,皇富矿业,出售,5043,5.19,26173.17,261.73,交易完成,"2016-06-27 15:52:40"
12366966,HPM,皇富矿业,出售,10000,5.19,51900.00,519.00,交易完成,"2016-06-27 15:52:38"
XCJ001,HPM,皇富矿业,出售,14300,5.19,74217.00,742.17,交易完成,"2016-06-27 15:52:15"
03656542,HPM,皇富矿业,出售,48512,5.19,251777.28,2517.77,交易完成,"2016-06-27 15:52:08"
00900967,HPM,皇富矿业,出售,2920,5.19,15154.80,151.55,交易完成,"2016-06-27 15:51:43"
YT2999,HPM,皇富矿业,出售,5870,5.19,30465.30,304.65,交易完成,"2016-06-27 15:51:34"
P68632757,HPM,皇富矿业,出售,443,5.19,2299.17,22.99,交易完成,"2016-06-27 15:50:58"
XMJ001,HPM,皇富矿业,出售,20000,5.19,103800.00,1038.00,交易完成,"2016-06-27 15:50:56"
42090418,HPM,皇富矿业,出售,30729,5.19,159483.51,1594.84,交易完成,"2016-06-27 15:50:40"
10723,HPM,皇富矿业,出售,4800,5.19,24912.00,249.12,交易完成,"2016-06-27 15:50:40"
LLZ1397083,HPM,皇富矿业,出售,22000,5.19,114180.00,1141.80,交易完成,"2016-06-27 15:50:16"
60407629,HPM,皇富矿业,出售,5976,5.19,31015.44,310.15,交易完成,"2016-06-27 15:50:01"
YT6668,HPM,皇富矿业,出售,10000,5.19,51900.00,519.00,交易完成,"2016-06-27 15:49:44"
99996619,HPM,皇富矿业,购买,5000,5.19,25950.00,0.00,交易完成,"2016-06-27 15:49:32"
19795420,HPM,皇富矿业,出售,3234,5.19,16784.46,167.84,交易完成,"2016-06-27 15:49:26"
20156,HPM,皇富矿业,出售,12314,5.19,63909.66,639.10,交易完成,"2016-06-27 15:49:18"
5899,HPM,皇富矿业,出售,6000,5.19,31140.00,311.40,交易完成,"2016-06-27 15:48:50"
88866999,HPM,皇富矿业,出售,9585,5.19,49746.15,497.46,交易完成,"2016-06-27 15:48:48"
5921,HPM,皇富矿业,出售,1328,5.19,6892.32,68.92,交易完成,"2016-06-27 15:46:55"
11123,PPE,越南电力油气咨询工程公司,出售,1,4.87,4.87,0.05,交易完成,"2016-06-27 15:46:50"
99998433,HPM,皇富矿业,出售,11209,5.19,58174.71,581.75,交易完成,"2016-06-27 15:46:47"
P29553929,HPM,皇富矿业,出售,1532,5.19,7951.08,79.51,交易完成,"2016-06-27 15:46:39"
SXY03,HPM,皇富矿业,出售,18177,5.19,94338.63,943.39,交易完成,"2016-06-27 15:46:28"
11123,HPM,皇富矿业,出售,25,5.19,129.75,1.30,交易完成,"2016-06-27 15:46:25"
557866,PPE,越南电力油气咨询工程公司,购买,500,4.87,2435.00,0.00,交易完成,"2016-06-27 15:46:20"
